time,an_x,an_y,an_z,wn_x,wn_y,wn_z,esti_x,esti_y,esti_z,esti_a,esti_b,esti_c
0.238000,0.021641,0.002005,-0.003785,0.068848,-0.133945,0.008041,0.000279,0.000012,0.000190,-0.004286,-0.018799,-0.001313
0.243000,0.021527,0.001946,-0.003785,0.068580,-0.133491,0.008042,0.000294,0.000011,0.000194,-0.003943,-0.019467,-0.001273
0.249000,-0.019205,-0.003423,0.011172,-0.017378,-0.003226,-0.052766,0.000313,0.000010,0.000200,-0.004047,-0.019486,-0.001590
0.254000,-0.019208,-0.003409,0.011172,-0.017295,-0.003285,-0.052766,0.000328,0.000009,0.000204,-0.004134,-0.019503,-0.001853
0.260000,-0.019211,-0.003391,0.011172,-0.017225,-0.003197,-0.052765,0.000346,0.000008,0.000210,-0.004237,-0.019522,-0.002170
0.266000,-0.019214,-0.003373,0.011172,-0.017143,-0.003181,-0.052765,0.000363,0.000006,0.000217,-0.004340,-0.019541,-0.002487
0.271000,0.011852,-0.011166,0.008789,0.007119,-0.088022,0.008042,0.000377,0.000005,0.000223,-0.004304,-0.019981,-0.002446
0.276000,0.011777,-0.011172,0.008789,0.007091,-0.087670,0.008043,0.000391,0.000003,0.000229,-0.004269,-0.020419,-0.002406
0.282000,0.011687,-0.011179,0.008789,0.007014,-0.087294,0.008043,0.000409,0.000001,0.000236,-0.004227,-0.020943,-0.002358
0.287000,0.011613,-0.011185,0.008789,0.007028,-0.086901,0.008044,0.000424,-0.000002,0.000243,-0.004192,-0.021378,-0.002318
0.293000,0.018079,0.004961,0.011186,0.021940,-0.117256,-0.052770,0.000442,-0.000004,0.000251,-0.004060,-0.022081,-0.002634
0.298000,0.017979,0.004943,0.011186,0.021834,-0.116720,-0.052770,0.000458,-0.000007,0.000258,-0.003951,-0.022665,-0.002898
0.304000,0.017860,0.004920,0.011186,0.021748,-0.116227,-0.052770,0.000477,-0.000009,0.000266,-0.003820,-0.023362,-0.003215
0.309000,0.010602,-0.007572,0.011783,-0.097611,-0.082147,0.007996,0.000494,-0.000011,0.000274,-0.004308,-0.023773,-0.003175
0.315000,0.010518,-0.007472,0.011783,-0.097172,-0.081792,0.007996,0.000514,-0.000014,0.000284,-0.004891,-0.024264,-0.003127
0.320000,0.010448,-0.007389,0.011783,-0.096755,-0.081426,0.007996,0.000532,-0.000017,0.000292,-0.005375,-0.024671,-0.003087
0.325000,0.010378,-0.007306,0.011784,-0.096368,-0.081101,0.007995,0.000549,-0.000019,0.000301,-0.005857,-0.025076,-0.003047
0.330000,-0.016531,-0.001855,0.009975,-0.070803,0.044974,-0.052795,0.000567,-0.000022,0.000309,-0.006211,-0.024851,-0.003311
